frame, fps, time
0, 52.66484, 0
1, 43.0052, 0.023253
2, 54.91187, 0.041464
3, 51.37426, 0.060929
4, 34.41512, 0.089986
5, 17.51344, 0.147085
6, 28.49652, 0.182177
7, 37.5136, 0.208834
8, 28.8359, 0.243513
9, 43.80969, 0.266339
10, 31.66862, 0.297916
11, 46.66356, 0.319346
12, 44.5355, 0.3418
13, 27.77932, 0.377798
14, 38.11702, 0.404033
15, 33.86043, 0.433566
16, 52.43563, 0.452637
17, 45.84843, 0.474448
18, 34.5913, 0.503357
19, 34.67406, 0.532197
20, 58.67512, 0.54924
21, 48.82097, 0.569723
22, 44.90144, 0.591994
23, 40.81466, 0.616495
24, 29.30489, 0.650619
25, 44.33607, 0.673174
26, 45.2796, 0.695259
27, 49.59579, 0.715422
28, 34.65964, 0.744274
29, 35.27461, 0.772623
30, 38.19272, 0.798806
31, 43.48204, 0.821804
32, 44.24583, 0.844405
33, 42.46825, 0.867952
34, 52.82341, 0.886883
35, 46.91312, 0.908199
36, 46.90652, 0.9295179
37, 46.49865, 0.9510239
38, 36.58447, 0.9783579
39, 42.97933, 1.001625
40, 50.86211, 1.021286
41, 40.90482, 1.045733
42, 25.93496, 1.084291
43, 44.77478, 1.106625
44, 42.39983, 1.13021
45, 46.94615, 1.151511
46, 47.35297, 1.172629
47, 35.9247, 1.200465
48, 42.69855, 1.223885
49, 48.87824, 1.244344
50, 31.67063, 1.275919
51, 29.84807, 1.309422
52, 44.75274, 1.331767
53, 50.85694, 1.35143
54, 49.93259, 1.371457
55, 37.91613, 1.397831
56, 33.151, 1.427996
57, 39.9856, 1.453005
58, 45.55394, 1.474957
59, 40.57618, 1.499602
60, 13.4275, 1.574076
61, 52.92966, 1.592969
62, 43.88852, 1.615754
63, 39.86446, 1.640839
64, 33.71885, 1.670496
65, 37.95642, 1.696842
66, 36.80666, 1.724011
67, 42.88348, 1.74733
68, 33.08629, 1.777554
69, 35.93245, 1.805384
70, 42.33163, 1.829007
71, 45.94744, 1.850771
72, 51.46945, 1.8702
73, 37.68607, 1.896735
74, 36.61394, 1.924047
75, 34.82864, 1.952759
76, 47.99846, 1.973593
77, 33.74047, 2.003231
78, 35.88087, 2.031101
79, 41.87955, 2.054979
80, 39.58672, 2.08024
81, 45.77707, 2.102085
82, 39.42751, 2.127448
83, 34.58173, 2.156365
84, 36.47106, 2.183784
85, 47.644, 2.204773
86, 32.29036, 2.235742
87, 33.53454, 2.265562
88, 42.41602, 2.289138
89, 42.74783, 2.312531
90, 41.81476, 2.336446
91, 45.39471, 2.358475
92, 33.11258, 2.388675
93, 39.25725, 2.414148
94, 46.26845, 2.435761
95, 33.083, 2.465988
96, 42.17452, 2.489699
97, 34.48395, 2.518698
98, 53.61068, 2.537351
99, 49.53193, 2.55754
100, 34.45306, 2.586565
101, 35.20383, 2.614971
102, 42.70584, 2.638387
103, 42.95717, 2.661666
104, 30.30395, 2.694665
105, 34.36072, 2.723768
106, 40.96682, 2.748178
107, 44.07616, 2.770866
108, 33.94203, 2.800328
109, 29.85699, 2.833821
110, 39.47576, 2.859153
111, 46.49433, 2.880661
112, 41.93575, 2.904507
113, 39.62593, 2.929743
114, 31.09259, 2.961905
115, 41.97624, 2.985728
116, 50.13788, 3.005672
117, 32.40021, 3.036536
118, 33.94779, 3.065994
119, 45.23454, 3.0881
120, 50.67397, 3.107834
121, 56.5995, 3.125502
122, 35.74492, 3.153478
123, 38.85608, 3.179214
124, 39.00308, 3.204854
125, 47.81029, 3.22577
126, 44.61298, 3.248184
127, 47.92256, 3.269052
128, 41.36505, 3.293226
129, 43.80777, 3.316053
130, 42.7588, 3.33944
131, 32.24662, 3.370451
132, 32.17917, 3.401527
133, 44.88129, 3.423808
134, 31.84612, 3.455209
135, 25.6246, 3.494234
136, 37.60671, 3.520825
137, 40.68845, 3.545402
138, 36.50701, 3.572794
139, 36.20827, 3.600412
140, 39.92494, 3.625459
141, 34.70776, 3.654271
142, 38.20147, 3.680448
143, 50.03753, 3.700433
144, 33.80434, 3.730015
145, 40.76308, 3.754547
146, 44.27914, 3.777131
147, 53.61643, 3.795782
148, 46.18724, 3.817433
149, 38.40246, 3.843473
150, 36.63943, 3.870766
151, 36.91535, 3.897855
152, 51.33734, 3.917334
153, 40.49239, 3.94203
154, 32.97283, 3.972358
155, 46.88013, 3.99369
156, 43.87889, 4.016479
157, 33.23805, 4.046566
158, 35.85129, 4.074459
159, 25.45436, 4.113745
160, 36.95082, 4.140808
161, 28.61803, 4.175751
162, 34.77777, 4.204505
163, 36.42589, 4.231958
164, 48.27187, 4.252674
165, 47.3104, 4.273811
166, 34.17986, 4.303068
167, 29.55869, 4.336899
168, 35.19268, 4.365314
169, 43.84619, 4.388122
170, 22.79982, 4.431982
171, 38.48374, 4.457966
172, 22.72779, 4.501966
173, 18.2802, 4.55667
174, 41.64411, 4.580683
175, 26.55619, 4.618339
176, 30.44882, 4.651181
177, 33.62249, 4.680923
178, 38.61451, 4.70682
179, 35.4698, 4.735013
180, 37.38457, 4.761762
181, 37.72873, 4.788267
182, 34.77293, 4.817025
183, 42.01857, 4.840824
184, 29.21841, 4.875049
185, 15.9147, 4.937884
186, 43.06447, 4.961105
187, 26.0166, 4.999542
188, 49.92262, 5.019573
189, 44.43062, 5.04208
190, 40.87138, 5.066547
191, 33.00984, 5.096841
192, 34.69933, 5.12566
193, 49.0629, 5.146042
194, 24.9333, 5.186149
195, 31.05879, 5.218346
196, 31.01448, 5.250588
197, 46.47704, 5.272104
198, 24.58936, 5.312772
199, 14.76908, 5.380481
200, 36.75254, 5.40769
201, 30.93868, 5.440012
202, 55.82538, 5.457925
203, 48.73057, 5.478446
204, 41.37189, 5.502617
205, 52.97452, 5.521494
206, 18.22556, 5.576362
207, 35.26839, 5.604716
208, 40.96011, 5.62913
209, 54.4692, 5.64749
210, 22.07164, 5.692797
211, 54.57621, 5.71112
212, 18.28688, 5.765804
213, 18.40197, 5.820146
214, 35.66843, 5.848182
215, 26.67663, 5.885668
216, 59.55571, 5.902459
217, 50.79494, 5.922146
218, 38.13882, 5.948366
219, 53.07292, 5.967208
220, 21.97464, 6.012715
221, 52.00749, 6.031943
222, 20.35168, 6.081079
223, 35.96993, 6.10888
224, 34.53993, 6.137832
225, 15.86521, 6.200863
226, 50.355, 6.220722
227, 23.99002, 6.262406
228, 51.4827, 6.28183
229, 31.2803, 6.313799
230, 39.03505, 6.339417
231, 48.84005, 6.359892
232, 51.92647, 6.37915
233, 45.33503, 6.401208
234, 30.11413, 6.434415
235, 53.37318, 6.453151
236, 21.8374, 6.498944
237, 34.54589, 6.527891
238, 27.42431, 6.564355
239, 16.4236, 6.625243
240, 43.87889, 6.648033
241, 24.06276, 6.689591
242, 42.64392, 6.713041
243, 46.20858, 6.734682
244, 34.32062, 6.763819
245, 36.44448, 6.791258
246, 38.98484, 6.816909
247, 49.53193, 6.837098
248, 23.0192, 6.880539
249, 50.71766, 6.900257
250, 22.45728, 6.944786
251, 53.1011, 6.963618
252, 15.85263, 7.026699
253, 22.75313, 7.070649
254, 53.08701, 7.089486
255, 22.15477, 7.134623
256, 55.2761, 7.152714
257, 45.89051, 7.174505
258, 39.32209, 7.199936
259, 49.76362, 7.220031
260, 20.24496, 7.269426
261, 38.83495, 7.295176
262, 31.16236, 7.327266
