frame, fps, time
199, 34.55903, 6.986907
200, 23.94063, 7.028677
201, 24.55796, 7.069397
202, 33.18401, 7.099532
203, 36.14414, 7.127199
204, 37.87735, 7.1536
205, 34.60686, 7.182496
206, 36.15721, 7.210153
207, 36.83241, 7.237303
208, 30.91955, 7.269645
209, 31.65158, 7.301239
210, 30.38036, 7.334155
211, 32.90556, 7.364545
212, 32.80409, 7.395029
213, 38.60706, 7.420931
214, 36.24633, 7.44852
215, 37.24811, 7.475367
216, 32.55844, 7.506081
217, 35.9402, 7.533905
218, 34.92596, 7.562537
219, 35.43963, 7.590754
220, 36.78499, 7.617939
221, 30.60163, 7.650617
222, 35.84872, 7.678512
223, 23.43622, 7.72118
224, 25.69571, 7.760098
225, 38.65631, 7.785966
226, 34.85171, 7.81466
227, 36.31609, 7.842196
228, 35.79739, 7.870131
229, 31.1013, 7.902284
230, 36.60188, 7.929605
231, 36.42191, 7.95706
232, 36.43651, 7.984505
233, 35.65317, 8.012553
234, 25.59836, 8.051619
235, 24.98126, 8.091648
236, 36.96721, 8.118699
237, 36.4113, 8.146163
238, 39.23569, 8.17165
239, 33.64738, 8.20137
240, 34.04951, 8.23074
241, 34.48514, 8.259738
242, 29.40052, 8.293751
243, 32.17917, 8.324827
244, 37.88166, 8.351225
245, 24.15109, 8.392631
246, 25.2787, 8.43219
247, 33.14331, 8.462362
248, 37.5841, 8.488969
249, 33.38564, 8.518922
250, 35.71939, 8.546918
251, 33.54804, 8.576726
252, 37.98959, 8.603049
253, 34.19271, 8.632296
254, 33.95816, 8.661743
255, 37.71166, 8.68826
256, 23.90629, 8.73009
257, 24.35994, 8.771141
258, 37.69176, 8.797672
259, 34.5937, 8.826579
260, 35.84872, 8.854474
261, 33.78949, 8.884069
262, 30.93772, 8.916392
263, 34.478, 8.945396
264, 34.94915, 8.97401
265, 37.03018, 9.001015
266, 33.89141, 9.03052
267, 22.72366, 9.074528
268, 29.03601, 9.108968
269, 37.08924, 9.13593
270, 38.52822, 9.161885
271, 33.42469, 9.191803
272, 33.01093, 9.222096
273, 36.60724, 9.249413
274, 29.15962, 9.283708
275, 29.47157, 9.317638
276, 34.19739, 9.34688
277, 22.77489, 9.390788
278, 29.89805, 9.424235
279, 33.83179, 9.453794
280, 38.55645, 9.47973
281, 32.73108, 9.510282
282, 32.44541, 9.541102
283, 32.47913, 9.571892
284, 32.98697, 9.602207
285, 33.78607, 9.631805
286, 36.58849, 9.659137
287, 22.82636, 9.702946
288, 28.8226, 9.73764
289, 32.78366, 9.768144
290, 38.5208, 9.794104
291, 35.41453, 9.822341
292, 33.63606, 9.852071
293, 36.49768, 9.87947
294, 30.05259, 9.912745
295, 37.18716, 9.939635
296, 35.15433, 9.968081
297, 37.85441, 9.994498
298, 26.50903, 10.03222
299, 27.42732, 10.06868
300, 37.56292, 10.0953
301, 33.89601, 10.1248
302, 34.53277, 10.15376
303, 36.33721, 10.18128
304, 33.79749, 10.21087
305, 37.79575, 10.23733
306, 30.77112, 10.26983
307, 29.18345, 10.30409
308, 20.70651, 10.35239
309, 23.07444, 10.39573
310, 37.75294, 10.42221
311, 34.65964, 10.45107
312, 36.8718, 10.47819
313, 35.23112, 10.50657
314, 34.10641, 10.53589
315, 34.78745, 10.56464
316, 35.40199, 10.59288
317, 37.72019, 10.61939
318, 29.72298, 10.65304
319, 29.72652, 10.68668
320, 33.27676, 10.71673
321, 34.3808, 10.74582
322, 36.05162, 10.77355
323, 34.08897, 10.80289
324, 34.19739, 10.83213
325, 29.37548, 10.86617
326, 32.72466, 10.89673
327, 33.07316, 10.92697
328, 33.19061, 10.9571
329, 22.43813, 11.00166
330, 25.09536, 11.04151
331, 34.52443, 11.07048
332, 34.06459, 11.09983
333, 32.90231, 11.13022
334, 34.86386, 11.15891
335, 36.33193, 11.18643
336, 37.02881, 11.21344
337, 32.54255, 11.24417
338, 37.08236, 11.27113
339, 17.9882, 11.32673
340, 23.69556, 11.36893
341, 27.14367, 11.40577
342, 23.19325, 11.44888
343, 25.29596, 11.48842
344, 28.09699, 11.52401
345, 21.29699, 11.57096
346, 22.86341, 11.6147
347, 21.49428, 11.66122
348, 22.91633, 11.70486
349, 25.09284, 11.74471
350, 23.0351, 11.78813
351, 26.85501, 11.82536
352, 21.28248, 11.87235
353, 23.70567, 11.91453
354, 21.34016, 11.96139
355, 28.05915, 11.99703
356, 30.20783, 12.03014
357, 28.9034, 12.06473
358, 31.26466, 12.09672
359, 37.88022, 12.12312
360, 27.21014, 12.15987
361, 35.41954, 12.1881
362, 17.83803, 12.24416
363, 32.86339, 12.27459
364, 25.26465, 12.31417
365, 27.91425, 12.35
366, 33.20494, 12.38011
367, 26.02337, 12.41854
368, 30.59507, 12.45122
369, 29.68857, 12.48491
370, 22.73916, 12.52888
371, 27.54138, 12.56519
372, 31.23926, 12.5972
373, 31.55669, 12.62889
374, 31.46732, 12.66067
375, 32.57541, 12.69137
376, 23.18787, 12.7345
377, 43.28817, 12.7576
378, 20.38778, 12.80665
379, 26.79026, 12.84397
380, 31.98669, 12.87524
381, 30.01471, 12.90855
382, 26.58867, 12.94616
383, 31.89691, 12.97751
384, 29.89179, 13.01097
385, 28.64427, 13.04588
386, 23.67144, 13.08812
387, 26.98254, 13.12519
388, 33.25574, 13.15526
389, 29.62085, 13.18902
390, 39.88036, 13.21409
391, 32.41176, 13.24494
392, 28.85753, 13.2796
393, 21.69856, 13.32568
394, 22.43561, 13.37025
395, 33.94433, 13.39971
396, 33.02401, 13.43
397, 28.45598, 13.46514
398, 31.22755, 13.49716
399, 35.94407, 13.52498
400, 40.56466, 13.54963
401, 39.49603, 13.57495
402, 39.66837, 13.60016
403, 24.0171, 13.6418
404, 26.91935, 13.67895
405, 44.52756, 13.70141
406, 37.53472, 13.72805
407, 36.32929, 13.75557
408, 40.9316, 13.78
409, 39.58672, 13.80527
410, 36.78093, 13.83245
411, 33.51656, 13.86229
412, 40.68845, 13.88687
413, 31.16527, 13.91895
414, 34.10874, 13.94827
415, 25.96728, 13.98678
416, 28.00336, 14.02249
417, 33.64738, 14.05221
418, 37.7387, 14.07871
419, 40.62399, 14.10333
420, 37.50797, 14.12999
421, 38.71917, 14.15582
422, 34.28532, 14.18498
423, 38.55645, 14.21092
424, 35.01278, 14.23948
425, 36.94399, 14.26655
426, 24.58029, 14.30723
427, 23.5344, 14.34972
428, 34.64763, 14.37858
429, 40.75644, 14.40312
430, 34.68248, 14.43195
431, 35.4849, 14.46013
432, 38.3833, 14.48619
433, 36.26868, 14.51376
434, 38.30977, 14.53986
435, 33.23805, 14.56995
436, 38.54902, 14.59589
437, 33.49186, 14.62575
438, 39.1512, 14.65129
439, 27.43258, 14.68774
440, 28.61967, 14.72268
441, 33.21597, 14.75279
442, 40.22203, 14.77765
443, 35.02995, 14.8062
444, 31.75208, 14.83769
445, 36.51901, 14.86507
446, 35.07049, 14.89359
447, 37.43916, 14.9203
448, 35.23112, 14.94868
449, 26.84348, 14.98594
450, 23.05795, 15.0293
451, 36.57377, 15.05665
452, 34.19388, 15.08589
453, 34.52681, 15.11485
454, 37.73442, 15.14136
455, 39.75037, 15.16651
456, 36.21614, 15.19412
457, 36.10369, 15.22182
458, 39.64478, 15.24705
459, 33.22701, 15.27714
460, 36.57243, 15.30448
461, 22.53877, 15.34885
462, 25.28381, 15.3884
463, 38.78074, 15.41419
464, 36.92899, 15.44127
465, 33.58748, 15.47104
466, 35.48742, 15.49922
467, 38.48967, 15.5252
468, 35.58212, 15.5533
469, 34.72946, 15.5821
470, 34.39618, 15.61117
471, 34.2243, 15.64039
472, 38.00836, 15.6667
473, 23.30948, 15.7096
474, 25.37105, 15.74902
475, 35.3832, 15.77728
476, 35.29329, 15.80561
477, 34.8821, 15.83428
478, 39.13435, 15.85983
479, 31.5826, 15.8915
480, 36.47372, 15.91891
481, 33.20935, 15.94903
482, 34.87845, 15.9777
483, 35.80379, 16.00563
484, 26.47043, 16.04341
485, 25.40909, 16.08276
486, 36.38348, 16.11025
487, 33.68024, 16.13994
488, 31.39816, 16.17179
489, 33.7952, 16.20138
490, 37.75865, 16.22786
491, 35.81021, 16.25579
492, 34.02171, 16.28518
493, 35.50128, 16.31335
494, 31.50599, 16.34509
495, 26.38244, 16.38299
496, 26.78093, 16.42033
497, 36.31082, 16.44787
498, 37.88309, 16.47427
499, 38.77472, 16.50006
500, 34.43407, 16.5291
501, 35.77689, 16.55705
502, 35.61888, 16.58512
503, 35.11483, 16.6136
504, 35.8179, 16.64152
505, 35.04345, 16.67006
506, 25.29276, 16.7096
507, 29.90878, 16.74303
508, 34.29708, 16.77219
509, 35.15186, 16.80064
510, 37.58974, 16.82724
511, 37.04115, 16.85424
512, 33.34222, 16.88423
513, 32.87419, 16.91465
514, 35.70153, 16.94266
515, 35.43586, 16.97088
516, 33.9144, 17.00036
517, 23.25203, 17.04337
518, 24.487, 17.08421
519, 36.6959, 17.11146
520, 34.11106, 17.14077
521, 36.86636, 17.1679
522, 36.40202, 17.19537
523, 30.69933, 17.22794
524, 29.94729, 17.26134
525, 29.20902, 17.29557
526, 30.31865, 17.32856
527, 23.27368, 17.37152
528, 25.26848, 17.4111
529, 32.27576, 17.44208
530, 38.2453, 17.46823
531, 36.58447, 17.49556
532, 34.1262, 17.52487
533, 33.40906, 17.5548
534, 35.29951, 17.58313
535, 34.25361, 17.61232
536, 33.07316, 17.64256
537, 23.02132, 17.686
538, 27.9275, 17.7218
539, 31.90505, 17.75315
540, 37.49391, 17.77982
541, 34.24657, 17.80902
542, 34.50894, 17.83799
543, 34.62484, 17.86687
544, 32.00205, 17.89812
545, 34.47206, 17.92713
546, 35.73088, 17.95512
547, 22.04877, 18.00047
548, 23.45326, 18.04311
549, 35.41202, 18.07135
550, 36.67975, 18.09861
551, 30.74842, 18.13114
552, 36.7242, 18.15837
553, 32.13987, 18.18948
554, 34.21728, 18.2187
555, 31.3293, 18.25062
556, 24.30783, 18.29176
557, 20.43903, 18.34069
558, 36.3095, 18.36823
559, 34.87115, 18.39691
560, 32, 18.42816
561, 36.08936, 18.45586
562, 30.61568, 18.48853
563, 36.17945, 18.51617
564, 35.81405, 18.54409
565, 23.70118, 18.58628
566, 22.86446, 18.63002
567, 24.78315, 18.67037
568, 26.15815, 18.7086
569, 26.86222, 18.74582
570, 22.65621, 18.78996
571, 21.59361, 18.83627
572, 26.18349, 18.87446
573, 28.22865, 18.90989
574, 38.79879, 18.93566
575, 31.39619, 18.96751
576, 24.55916, 19.00823
577, 23.15833, 19.05141
578, 14.60174, 19.1199
579, 21.86892, 19.16562
580, 25.14837, 19.20539
581, 25.56041, 19.24451
582, 23.08349, 19.28783
583, 19.27116, 19.33973
584, 25.30492, 19.37924
585, 19.42162, 19.43073
586, 26.79026, 19.46806
587, 33.62249, 19.4978
588, 24.5821, 19.53848
589, 39.0503, 19.56409
590, 26.61911, 19.60166
591, 27.23237, 19.63838
592, 23.64905, 19.68066
593, 26.9382, 19.71778
594, 35.27088, 19.74614
595, 26.48796, 19.78389
596, 33.54354, 19.8137
597, 28.82509, 19.84839
598, 18.57838, 19.90222
599, 33.87763, 19.93174
600, 31.41591, 19.96357
601, 31.10033, 19.99572
602, 29.48287, 20.02964
603, 35.07541, 20.05815
604, 28.97963, 20.09266
605, 24.21777, 20.13395
606, 6.912044, 20.27863
607, 22.39291, 20.32328
608, 56.69255, 20.34092
609, 43.71967, 20.36379
610, 72.58474, 20.37757
611, 66.3438, 20.39264
612, 52.81504, 20.41158
613, 67.15466, 20.42647
614, 56.13562, 20.44428
615, 60.26638, 20.46088
616, 58.30904, 20.47803
617, 56.39522, 20.49576
618, 52.80946, 20.5147
