frame, fps, time
0, 128.1723, 0
1, 96.08917, 0.010407
2, 96.61835, 0.020757
3, 66.0502, 0.035897
4, 102.2181, 0.04568
5, 14.11751, 0.116514
6, 74.27213, 0.129978
7, 117.7163, 0.138473
8, 75.43185, 0.15173
9, 122.3691, 0.159902
10, 79.45336, 0.172488
11, 73.46459, 0.1861
12, 76.33588, 0.1992
13, 88.77053, 0.210465
14, 77.64578, 0.223344
15, 77.01787, 0.236328
16, 77.14264, 0.249291
17, 82.62415, 0.261394
18, 80.90615, 0.273754
19, 83.30556, 0.285758
20, 81.11616, 0.298086
21, 81.51952, 0.310353
22, 70.3136, 0.324575
23, 91.58348, 0.335494
24, 81.47303, 0.347768
25, 82.02773, 0.359959
26, 77.45333, 0.37287
27, 89.78272, 0.384008
28, 81.07013, 0.396343
29, 82.09507, 0.408524
30, 79.59882, 0.421087
31, 82.00082, 0.433282
32, 78.49294, 0.4460219
33, 79.83395, 0.4585479
34, 84.12552, 0.470435
35, 84.36683, 0.482288
36, 74.27213, 0.495752
37, 89.6218, 0.50691
38, 81.05698, 0.519247
39, 72.45852, 0.533048
40, 90.63718, 0.544081
41, 78.59164, 0.556805
42, 85.65311, 0.56848
43, 85.03401, 0.58024
44, 77.29768, 0.593177
45, 82.25037, 0.6053349
46, 73.55646, 0.6189299
47, 84.80325, 0.6307219
48, 79.9936, 0.6432229
49, 78.15553, 0.6560179
50, 88.66821, 0.6672959
51, 76.68712, 0.6803359
52, 71.92693, 0.6942389
53, 82.5423, 0.7063539
54, 83.60505, 0.7183149
55, 77.78469, 0.7311709
56, 79.63686, 0.7437279
57, 81.09642, 0.7560589
58, 73.06203, 0.7697459
59, 81.18201, 0.782064
60, 80.45052, 0.794494
61, 74.46017, 0.807924
62, 83.45852, 0.819906
63, 76.19048, 0.833031
64, 74.43245, 0.846466
65, 83.63302, 0.858423
66, 77.82706, 0.871272
67, 72.8067, 0.885007
68, 85.07018, 0.896762
69, 76.72242, 0.9097959
70, 85.3024, 0.9215189
71, 79.49757, 0.9340979
72, 75.82076, 0.947287
73, 81.83976, 0.959506
74, 90.88431, 0.970509
75, 82.89812, 0.982572
76, 76.34753, 0.99567
77, 81.79959, 1.007895
78, 82.84318, 1.019966
79, 78.69059, 1.032674
80, 78.87679, 1.045352
81, 77.8513, 1.058197
82, 84.98343, 1.069964
83, 82.00755, 1.082158
84, 77.44733, 1.09507
85, 83.09789, 1.107104
86, 78.90169, 1.119778
87, 84.99065, 1.131544
88, 79.80846, 1.144074
89, 78.06401, 1.156884
90, 81.686, 1.169126
91, 84.31703, 1.180986
92, 80.7624, 1.193368
93, 78.10059, 1.206172
94, 78.74016, 1.218872
95, 81.80628, 1.231096
96, 81.38683, 1.243383
97, 79.16402, 1.256015
98, 84.92569, 1.26779
99, 77.89982, 1.280627
100, 78.67821, 1.293337
101, 82.64463, 1.305437
102, 81.04385, 1.317776
103, 75.86102, 1.330958
104, 86.55011, 1.342512
105, 77.19028, 1.355467
106, 84.69552, 1.367274
107, 76.92308, 1.380274
108, 87.32862, 1.391725
109, 82.12203, 1.403902
110, 78.15553, 1.416697
111, 83.53521, 1.428668
112, 77.66387, 1.441544
113, 83.08408, 1.45358
114, 75.08635, 1.466898
115, 84.94733, 1.47867
116, 77.65784, 1.491547
117, 88.17564, 1.502888
118, 77.55545, 1.515782
119, 79.80846, 1.528312
120, 79.89135, 1.540829
121, 84.46659, 1.552668
122, 79.94244, 1.565177
123, 79.05138, 1.577827
124, 78.85813, 1.590508
125, 79.1891, 1.603136
126, 82.83632, 1.615208
127, 77.24393, 1.628154
128, 77.76655, 1.641013
129, 84.06894, 1.652908
130, 81.53947, 1.665172
131, 81.63265, 1.677422
132, 77.70612, 1.690291
133, 84.50942, 1.702124
134, 73.42683, 1.715743
135, 79.67493, 1.728294
136, 78.24114, 1.741075
137, 79.95522, 1.753582
138, 83.14626, 1.765609
139, 74.9569, 1.77895
140, 74.37709, 1.792395
141, 82.33841, 1.80454
142, 77.11289, 1.817508
143, 82.9325, 1.829566
144, 73.50779, 1.84317
145, 88.89679, 1.854419
146, 79.75754, 1.866957
147, 75.34092, 1.88023
148, 82.63097, 1.892332
149, 77.96663, 1.905158
150, 74.67145, 1.91855
151, 81.67265, 1.930794
152, 77.21411, 1.943745
153, 81.65265, 1.955992
154, 78.37605, 1.96875
155, 76.58727, 1.981807
156, 79.26443, 1.994424
157, 77.88162, 2.007263
158, 76.74597, 2.020293
159, 83.08408, 2.03233
160, 73.34067, 2.045964
161, 82.65829, 2.058063
162, 77.39339, 2.070984
163, 78.2289, 2.083767
164, 77.03567, 2.096748
165, 84.83923, 2.108535
166, 79.77663, 2.12107
167, 77.39938, 2.13399
168, 78.30853, 2.14676
169, 82.85004, 2.158829
170, 80.952, 2.171182
171, 77.688, 2.184054
172, 76.23113, 2.197172
173, 76.59314, 2.210228
174, 66.8941, 2.225178
175, 71.85457, 2.239094
176, 83.32639, 2.251096
177, 74.50455, 2.264518
178, 75.27853, 2.277802
179, 72.8014, 2.291538
180, 82.25713, 2.303694
181, 77.51938, 2.316595
182, 80.32128, 2.329045
183, 83.80825, 2.340976
184, 80.52827, 2.353395
185, 76.6401, 2.366442
186, 82.10181, 2.378623
187, 68.44158, 2.393234
188, 84.92569, 2.405009
189, 81.35373, 2.4173
190, 81.79959, 2.429525
191, 74.72166, 2.442908
192, 80.59966, 2.455315
193, 76.49354, 2.468388
194, 80.95855, 2.48074
195, 78.64727, 2.493455
196, 80.23106, 2.505919
197, 80.52178, 2.518338
198, 78.57928, 2.531065
199, 79.42181, 2.543655
200, 77.94839, 2.556484
201, 81.65265, 2.568732
202, 79.09515, 2.581375
203, 79.66858, 2.593927
204, 81.32065, 2.606224
205, 74.12349, 2.619714
206, 88.31582, 2.631037
207, 78.1922, 2.643826
208, 80.26326, 2.656286
209, 76.71065, 2.669322
210, 80.13463, 2.681801
211, 82.30453, 2.693951
212, 27.75619, 2.729979
213, 138.485, 2.7372
214, 77.22008, 2.750149
215, 142.207, 2.757181
216, 79.51654, 2.769758
217, 80.78197, 2.782136
218, 81.20179, 2.794451
219, 78.37605, 2.80721
220, 80.99133, 2.819557
221, 76.2602, 2.83267
222, 75.42047, 2.845929
223, 81.43986, 2.858208
224, 82.08159, 2.870391
225, 77.97271, 2.883216
226, 78.91414, 2.895888
227, 74.13998, 2.909376
228, 87.91982, 2.92075
229, 76.74008, 2.933781
230, 76.02828, 2.946934
231, 76.0572, 2.960083
232, 82.17602, 2.972251
233, 79.95522, 2.984758
234, 79.45336, 2.997344
235, 80.22463, 3.009809
236, 73.25471, 3.02346
237, 79.64954, 3.036015
238, 77.22008, 3.048965
239, 76.96452, 3.061958
240, 77.74841, 3.07482
241, 77.47734, 3.087727
242, 79.39658, 3.100322
243, 74.8223, 3.113687
244, 80.45699, 3.126116
245, 78.6349, 3.138833
246, 78.35763, 3.151595
247, 72.45327, 3.165397
248, 82.65829, 3.177495
249, 73.92075, 3.191024
250, 32.20716, 3.222073
251, 146.4772, 3.2289
252, 89.57363, 3.240064
253, 124.8439, 3.248074
254, 74.97376, 3.261412
255, 77.44733, 3.274324
256, 77.3455, 3.287253
257, 78.21666, 3.300038
258, 77.5314, 3.312936
259, 78.21666, 3.325721
260, 76.63422, 3.338769
261, 78.88302, 3.351446
262, 74.4768, 3.364873
263, 77.41136, 3.377791
264, 79.61784, 3.390351
265, 74.02473, 3.40386
266, 80.99789, 3.416206
267, 40.8931, 3.44066
268, 161.6292, 3.446847
269, 83.99832, 3.458752
270, 82.50144, 3.470873
271, 77.09505, 3.483844
272, 66.50705, 3.49888
273, 78.0945, 3.511685
274, 77.20815, 3.524637
275, 77.42335, 3.537554
276, 75.99361, 3.550713
277, 76.51109, 3.563783
278, 78.05792, 3.576594
279, 75.82651, 3.589782
280, 76.58141, 3.602839
281, 76.42923, 3.615923
282, 74.12898, 3.629413
283, 74.8279, 3.642777
284, 77.46533, 3.655686
285, 77.20815, 3.668638
286, 74.53786, 3.682055
287, 77.29768, 3.694992
288, 77.35149, 3.70792
289, 76.4526, 3.720999
290, 77.28573, 3.733938
291, 76.14986, 3.747071
292, 77.33952, 3.76
293, 76.77543, 3.773026
294, 74.04117, 3.786531
295, 74.97376, 3.79987
296, 72.56367, 3.813651
297, 77.19028, 3.826606
298, 77.65784, 3.839483
299, 76.32423, 3.852585
300, 76.90533, 3.865588
301, 76.19048, 3.878713
302, 75.65441, 3.891931
303, 73.62144, 3.905514
304, 75.22756, 3.918807
305, 75.03001, 3.932135
306, 75.5287, 3.945375
307, 76.72242, 3.958409
308, 75.39772, 3.971672
309, 76.08034, 3.984816
310, 74.985, 3.998152
311, 74.88393, 4.011506
312, 75.83226, 4.024693
313, 74.61016, 4.038095
314, 72.92882, 4.051807
315, 78.06401, 4.064618
316, 71.63837, 4.078577
317, 84.99787, 4.090342
318, 67.40361, 4.105177
319, 71.58196, 4.119147
320, 72.09805, 4.133017
321, 81.92021, 4.145224
322, 73.39449, 4.158849
323, 76.61074, 4.171902
324, 77.00008, 4.184889
325, 74.66587, 4.198282
326, 74.54898, 4.211696
327, 77.84525, 4.224542
328, 73.35143, 4.238175
329, 73.88799, 4.251709
330, 72.15007, 4.265569
331, 78.82706, 4.278255
332, 74.5212, 4.291674
333, 71.32159, 4.305695
334, 80.12179, 4.318176
335, 70.64143, 4.332332
336, 79.03264, 4.344985
337, 75.89557, 4.358161
338, 74.58234, 4.371569
339, 76.06876, 4.384715
340, 74.51565, 4.398135
341, 75.55153, 4.411371
342, 75.73463, 4.424575
343, 76.04562, 4.437726
344, 71.71543, 4.45167
345, 80.17317, 4.464143
346, 71.96316, 4.478039
347, 78.93906, 4.490707
348, 75.5287, 4.503947
349, 76.40587, 4.517035
350, 70.40766, 4.531238
351, 78.38219, 4.543996
352, 74.12898, 4.557486
353, 75.86678, 4.570667
354, 68.62005, 4.58524
355, 81.53947, 4.597504
356, 74.67145, 4.610896
357, 76.09771, 4.624037
358, 73.57269, 4.637629
359, 73.9645, 4.651149
360, 74.77194, 4.664523
361, 76.32423, 4.677625
362, 73.95356, 4.691147
363, 72.60582, 4.70492
364, 75.75184, 4.718121
365, 74.01376, 4.731632
366, 76.97044, 4.744624
367, 28.50383, 4.779707
368, 142.2677, 4.786736
369, 132.0481, 4.794309
370, 68.7002, 4.808865
371, 80.50881, 4.821286
372, 78.76497, 4.833982
373, 75.21059, 4.847278
374, 71.8236, 4.861201
375, 74.61573, 4.874603
376, 74.10152, 4.888098
377, 75.88981, 4.901275
378, 73.73, 4.914838
379, 74.42691, 4.928274
380, 74.8503, 4.941634
381, 73.45919, 4.955247
382, 75.20493, 4.968544
383, 69.03217, 4.98303
384, 76.34171, 4.99613
385, 75.64869, 5.009348
386, 75.20493, 5.022645
387, 68.63418, 5.037216
388, 74.70492, 5.050601
389, 75.59722, 5.063829
390, 75.29553, 5.07711
391, 72.44277, 5.090914
392, 74.59347, 5.10432
393, 72.51632, 5.11811
394, 72.15007, 5.13197
395, 73.74632, 5.14553
396, 73.01935, 5.159225
397, 74.33839, 5.172677
398, 76.33588, 5.185777
399, 71.9528, 5.199675
400, 72.89693, 5.213393
401, 77.86949, 5.226235
402, 72.3275, 5.240061
